key,translation,locale
global.accept.terms.and.conditions,Ich bestätige die AGB,de_DE
global.accept.terms.and.conditions,Accept Terms and Conditions,en_US
global.login,Anmelden,de_DE
global.login,Login,en_US
global.create.account,Account erstellen,de_DE
global.create.account,Create Account,en_US
global.cart,Einkaufsliste,de_DE
global.cart,Cart,en_US
global.no_image_available,Kein Bild verfügbar,de_DE
global.no_image_available,No image available,en_US
global.benefit.free_returns,Kostenlose Rückgabe,de_DE
global.benefit.free_returns,Free Returns,en_US
global.benefit.warranty,3 Jahre Garantie,de_DE
global.benefit.warranty,3 Years Warranty,en_US
global.benefit.competitive_prices,Günstige Preise,de_DE
global.benefit.competitive_prices,Competitive Prices,en_US
global.help,Fragen? Kundenservice,de_DE
global.importInfo,Wichtige Informationen,de_DE
global.help,Help,en_US
global.store_finder,Filialen,de_DE
global.store_finder,Store Finder,en_US
global.my_wishlist,Meine Merkzettel,de_DE
global.my_wishlist,My Wishlist,en_US
global.all_products,Alle Produkte,de_DE
global.all_products,All products,en_US
error.404,Error 404,de_DE
error.404,Error 404,en_US
error_page.title,Entschuldigung! Da ist leider etwas schief gelaufen.,de_DE
error_page.title,Oops! Something went wrong.,en_US
error_page.home_link,hier,de_DE
error_page.home_link,here,en_US
error_page.text,Vielleicht finden Sie die von Ihnen gewünschten Informationen über unsere Startseite:,de_DE
error_page.text,This page does not exist. Please check the link. You can go to the start page %link%.,en_US
homepage.carousel.previous,Zurück,de_DE
homepage.carousel.previous,Previous,en_US
homepage.carousel.next,Vore,de_DE
homepage.carousel.next,Next,en_US
customer.signup,New customer?,en_US
customer.signup,Neuer Kunde?,de_DE
customer.signin,Signin,en_US
customer.signin,Einloggen,de_DE
customer.logout,Logout,en_US
customer.logout,Abmelden,de_DE
customer.register,Register,en_US
customer.register,Registrieren,de_DE
customer.login,Login,en_US
customer.login,Anmelden,de_DE
customer.login.email,Email,en_US
customer.login.email,E-Mail Adresse oder Kundenkartennummer,de_DE
customer.login.password,Password,en_US
customer.login.password,Passwort,de_DE
customer.login.checkbox,Test checkbox,en_US
customer.login.checkbox,Testen die checkbox,de_DE
customer.login.title,Access your account,en_US
customer.login.title,Ich bin bereits Kunde,de_DE
customer.registration.title,Create account,en_US
customer.registration.title,Ich bin Neukunde,de_DE
customer.account.no_order,No orders at the moment,en_US
customer.account.no_order,Keine Bestellungen,de_DE
customer.account,Customer Account,en_US
customer.account,Mein Konto,de_DE
customer.account.contact,Contact,en_US
customer.account.contact,Kontakt,de_DE
customer.account.overview,Overview,en_US
customer.account.overview,Übersicht,de_DE
customer.account.profile_data,Profile,en_US
customer.account.profile_data,Benutzerdaten,de_DE
customer.account.address,Addresses,en_US
customer.account.address,Adresse,de_DE
customer.account.order_history,Orders History,en_US
customer.account.order_history,Bestellungen,de_DE
customer.account.newsletter,Newsletter,en_US
customer.account.newsletter,Newsletter,de_DE
customer.account.last_orders,Last Orders,en_US
customer.account.last_orders,Meine letzten Wunscheinkäufe,de_DE
customer.account.default_billing_address,Default Billing Address,en_US
customer.account.default_billing_address,Standard Rechnungsadresse,de_DE
customer.account.please_specify_billing_address,Please Specify Billing Address,en_US
customer.account.please_specify_billing_address,Bitte deine Rechnungsadresse eintragen.,de_DE
customer.account.default_shipping_address,Default Shipping Address,en_US
customer.account.default_shipping_address,Standard Lieferadresse,de_DE
customer.account.please_specify_shipping_address,Please Specify Shipping Address,en_US
customer.account.please_specify_shipping_address,Bitten deine Lieferadresse eintragen.,de_DE
customer.account.edit_address_information,Edit Address Information,en_US
customer.account.edit_address_information,Ändern,de_DE
customer.account.additional_addresses,Additional Addresses,en_US
customer.account.additional_addresses,Zusätzliche Adresse,de_DE
customer.account.button.add_new_address,Add new address,en_US
customer.account.button.add_new_address,Neue Adresse hinzufügen,de_DE
customer.account.add_new_address,Define new address,en_US
customer.account.add_new_address,Definieren Sie eine neue Adresse,de_DE
customer.account.deliver_to_multiple_addresses,Deliver to multiple addresses,en_US
customer.account.deliver_to_multiple_addresses,Deliver to multiple addresses,de_DE
customer.newsletter.not_subscribed,No newsletter subscription,en_US
customer.newsletter.not_subscribed,Newsletter nicht abonniert.,de_DE
