Facet;FacetValue;URL
1488;"Domácnost a zahrada/Hobby, dům/Osvětlení a elektro/Domácí zabezpečení";/cz/domácnost-a-zahrada/hobby,-dům/osvětlení-a-elektro/domácí-zabezpečení
1025;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Luštěniny/Čočka";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/luštěniny/čočka
1026;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Luštěniny/Fazole";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/luštěniny/fazole
1027;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Luštěniny/Hrách";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/luštěniny/hrách
1028;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Luštěniny/Cizrna a ostatní";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/luštěniny/cizrna-a-ostatní
1039;"Mléčné a chlazené/Sýry/Plísňové a zrající/S bílou plísní";/cz/mléčné-a-chlazené/sýry/plísňové-a-zrající/s-bílou-plísní
1040;"Mléčné a chlazené/Sýry/Plísňové a zrající/S modrou plísní";/cz/mléčné-a-chlazené/sýry/plísňové-a-zrající/s-modrou-plísní
1489;"Mléčné a chlazené/Sýry/Plísňové a zrající/Zrající";/cz/mléčné-a-chlazené/sýry/plísňové-a-zrající/zrající
1048;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Ostatní";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/ostatní
1490;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Kalendáře a diáře";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/kalendáře-a-diáře
1041;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Kalkulačky";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/kalkulačky
1044;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Sešívačky a děrovačky";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/sešívačky-a-děrovačky
1045;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Lepidla a pásky";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/lepidla-a-pásky
1046;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Nože a nůžky";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/nože-a-nůžky
1047;"Domácnost a zahrada/Kancelář a školní potřeby/Kancelářské potřeby a doplňky/Sponky, napínáčky a další";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/kancelářské-potřeby-a-doplňky/sponky,-napínáčky-a-další
1049;"Trvanlivé potraviny/Olej, ocet/Olej/Olivové";/cz/trvanlivé-potraviny/olej,-ocet/olej/olivové
1050;"Trvanlivé potraviny/Olej, ocet/Olej/Řepkové";/cz/trvanlivé-potraviny/olej,-ocet/olej/řepkové
1051;"Trvanlivé potraviny/Olej, ocet/Olej/Slunečnicové";/cz/trvanlivé-potraviny/olej,-ocet/olej/slunečnicové
1052;"Trvanlivé potraviny/Olej, ocet/Olej/Ochucené";/cz/trvanlivé-potraviny/olej,-ocet/olej/ochucené
1053;"Trvanlivé potraviny/Olej, ocet/Olej/Ostatní";/cz/trvanlivé-potraviny/olej,-ocet/olej/ostatní
1054;"Domácnost a zahrada/Hobby, dům/Barvy, laky, ředidla/Interiérové barvy";/cz/domácnost-a-zahrada/hobby,-dům/barvy,-laky,-ředidla/interiérové-barvy
1055;"Domácnost a zahrada/Hobby, dům/Barvy, laky, ředidla/Exteriérové barvy";/cz/domácnost-a-zahrada/hobby,-dům/barvy,-laky,-ředidla/exteriérové-barvy
1056;"Domácnost a zahrada/Hobby, dům/Barvy, laky, ředidla/Laky";/cz/domácnost-a-zahrada/hobby,-dům/barvy,-laky,-ředidla/laky
1057;"Domácnost a zahrada/Hobby, dům/Barvy, laky, ředidla/Základní nátěry";/cz/domácnost-a-zahrada/hobby,-dům/barvy,-laky,-ředidla/základní-nátěry
1491;"Domácnost a zahrada/Hobby, dům/Barvy, laky, ředidla/Ředidla, rozpouštědla";/cz/domácnost-a-zahrada/hobby,-dům/barvy,-laky,-ředidla/ředidla,-rozpouštědla
1058;"Domácnost a zahrada/Kancelář a školní potřeby/Papír, sešity a bloky/Kancelářský papír";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/papír,-sešity-a-bloky/kancelářský-papír
1059;"Domácnost a zahrada/Kancelář a školní potřeby/Papír, sešity a bloky/Barevné a speciální papíry";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/papír,-sešity-a-bloky/barevné-a-speciální-papíry
1060;"Domácnost a zahrada/Kancelář a školní potřeby/Papír, sešity a bloky/Školní sešity";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/papír,-sešity-a-bloky/školní-sešity
1061;"Domácnost a zahrada/Kancelář a školní potřeby/Papír, sešity a bloky/Bloky a zápisníky";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/papír,-sešity-a-bloky/bloky-a-zápisníky
1062;"Domácnost a zahrada/Kancelář a školní potřeby/Papír, sešity a bloky/Samolepící bločky";/cz/domácnost-a-zahrada/kancelář-a-školní-potřeby/papír,-sešity-a-bloky/samolepící-bločky
1063;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Špagety";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/špagety
1066;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Tagliatelle a pappardelle";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/tagliatelle-a-pappardelle
1067;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Penne";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/penne
1068;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Gnocchi a tortellini";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/gnocchi-a-tortellini
1069;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Fusilli a vřetena";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/fusilli-a-vřetena
1070;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Fleky a špecle";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/fleky-a-špecle
1071;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Kolínka a rigatti";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/kolínka-a-rigatti
1073;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Farfalle";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/farfalle
1064;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Ostatní";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/ostatní
1065;"Trvanlivé potraviny/Přílohy - rýže, těstoviny, luštěniny/Těstoviny/Těstovinová rýže";/cz/trvanlivé-potraviny/přílohy---rýže,-těstoviny,-luštěniny/těstoviny/těstovinová-rýže
